EACODE;source;value
10506010;DoIWD;11
10506011;DoIWD;14
10506012;DoIWD;13
10506013;DoIWD;20
10506014;DoIWD;21
10506015;DoIWD;12
10506016;DoIWD;5
10506017;DoIWD;16
10506019;DoIWD;25
10506020;DoIWD;23
10506021;DoIWD;12
10506022;DoIWD;15
10506023;DoIWD;15
10506024;DoIWD;10
10506025;DoIWD;7
10506026;DoIWD;1
10506027;DoIWD;18
10506027;Madzi Alipo;2
10506027;WPDx;2
10506028;DoIWD;14
10506029;DoIWD;26
10506029;Madzi Alipo;4
10506029;WPDx;4
10506030;DoIWD;21
10506031;DoIWD;23
10506032;DoIWD;21
10506033;DoIWD;11
10506034;DoIWD;14
10506035;DoIWD;14
10506036;DoIWD;17
10506802;DoIWD;5
10506901;DoIWD;2
10506903;DoIWD;8
10506906;DoIWD;1
10506910;DoIWD;3
10507001;DoIWD;11
10507002;DoIWD;14
10507003;DoIWD;18
10507004;DoIWD;9
10507005;DoIWD;7
10507006;DoIWD;18
10507007;DoIWD;27
10507008;DoIWD;20
10507009;DoIWD;21
10507010;DoIWD;16
10507011;DoIWD;25
10507012;DoIWD;23
10507012;Madzi Alipo;1
10507013;DoIWD;26
10507014;DoIWD;16
10507015;DoIWD;23
10507016;DoIWD;19
10507017;DoIWD;18
10507018;DoIWD;24
10507019;DoIWD;6
10507020;DoIWD;22
10507021;DoIWD;17
10507022;DoIWD;24
10507023;DoIWD;26
10507024;DoIWD;14
10507025;DoIWD;7
10507026;DoIWD;13
10507027;DoIWD;20
10507028;DoIWD;23
10507029;DoIWD;23
10507801;DoIWD;19
10507802;DoIWD;19
10507902;DoIWD;5
10508002;DoIWD;27
10508003;DoIWD;6
10508004;DoIWD;3
10508005;DoIWD;13
10508006;DoIWD;5
10508007;DoIWD;10
10508008;DoIWD;5
10508009;DoIWD;3
10508011;DoIWD;9
10508012;DoIWD;2
10508013;DoIWD;7
10508017;DoIWD;5
10509001;DoIWD;4
10509001;Madzi Alipo;8
10509001;WPDx;6
10509002;DoIWD;8
10509002;Madzi Alipo;1
10509002;WPDx;4
10509003;DoIWD;8
10509004;DoIWD;13
10509004;WPDx;2
10509005;DoIWD;13
10509005;WPDx;19
10509006;DoIWD;5
10509006;WPDx;3
10509007;DoIWD;7
10509008;DoIWD;10
10509008;WPDx;1
10509009;DoIWD;5
10509010;DoIWD;13
10509011;DoIWD;9
10509012;DoIWD;2
10509013;DoIWD;6
10509014;DoIWD;10
10509015;DoIWD;13
10509015;Madzi Alipo;1
10509015;WPDx;1
10509016;DoIWD;9
10509017;DoIWD;13
10509018;DoIWD;11
10509019;DoIWD;18
10509020;DoIWD;13
10509021;DoIWD;29
10509021;Madzi Alipo;1
10509021;WPDx;1
10509801;DoIWD;7
10509802;DoIWD;7
10509802;Madzi Alipo;1
10509802;WPDx;1
10510001;DoIWD;9
10510002;DoIWD;15
10510003;DoIWD;8
10510004;DoIWD;9
10510005;DoIWD;10
10510006;DoIWD;14
10510006;Madzi Alipo;1
10510006;WPDx;1
10510007;DoIWD;4
10510008;DoIWD;8
10510009;DoIWD;10
10510009;Madzi Alipo;1
10510009;WPDx;1
10510010;DoIWD;6
10510011;DoIWD;17
10510011;Madzi Alipo;3
10510011;WPDx;3
10510012;DoIWD;11
10510013;DoIWD;13
10510014;DoIWD;9
10510015;DoIWD;4
10510016;DoIWD;17
10510017;DoIWD;11
10510017;Madzi Alipo;3
10510017;WPDx;3
10510018;DoIWD;12
10510018;Madzi Alipo;2
10510018;WPDx;2
10510801;DoIWD;8
10510802;DoIWD;9
10511902;DoIWD;6
10511902;Madzi Alipo;2
10511902;WPDx;1
10520705;DoIWD;2
10520706;DoIWD;1
10520708;DoIWD;1
10531001;DoIWD;22
10531002;DoIWD;8
10532001;DoIWD;25
10532002;DoIWD;22
10532003;DoIWD;13
10532004;DoIWD;7
10532005;DoIWD;3
10532006;DoIWD;12
10532007;DoIWD;8
10532008;DoIWD;5
10534002;DoIWD;1
10536008;DoIWD;2
10536009;DoIWD;3
10537002;DoIWD;1
10544005;DoIWD;3
10545001;DoIWD;1
10546001;DoIWD;4
10546002;DoIWD;16
10546003;DoIWD;3
20101001;DoIWD;8
20101002;DoIWD;10
20101003;DoIWD;8
20101004;DoIWD;4
20101005;DoIWD;12
20101006;DoIWD;17
20101007;DoIWD;20
20101008;DoIWD;14
20101009;DoIWD;10
20101010;DoIWD;7
20101011;DoIWD;4
20101012;DoIWD;19
20101013;DoIWD;13
20101014;DoIWD;16
20101015;DoIWD;6
20101016;DoIWD;5
20101017;DoIWD;10
20101018;DoIWD;17
20101019;DoIWD;6
20101020;DoIWD;18
20101021;DoIWD;19
20101022;DoIWD;14
20101023;DoIWD;27
20101024;DoIWD;14
20101801;DoIWD;6
20101802;DoIWD;8
20102001;DoIWD;9
20102002;DoIWD;11
20102002;Madzi Alipo;2
20102003;DoIWD;6
20102003;Madzi Alipo;2
20102004;DoIWD;14
20102004;Madzi Alipo;2
20102005;DoIWD;4
20102006;DoIWD;7
20102006;Madzi Alipo;3
20102007;DoIWD;2
20102008;DoIWD;18
20102009;DoIWD;16
20102009;Madzi Alipo;3
20102010;DoIWD;2
20102011;DoIWD;6
20102012;DoIWD;3
20102012;Madzi Alipo;1
20102013;DoIWD;8
20102013;Madzi Alipo;3
20102014;DoIWD;13
20102014;Madzi Alipo;2
20102015;DoIWD;8
20102015;Madzi Alipo;2
20102016;DoIWD;11
20103003;DoIWD;14
20103006;DoIWD;2
20103007;DoIWD;22
20103008;DoIWD;15
20103008;Madzi Alipo;1
20103009;DoIWD;21
20103009;Madzi Alipo;1
20103010;DoIWD;10
20103011;DoIWD;18
20103012;DoIWD;22
20103013;DoIWD;24
20103014;DoIWD;18
20103015;DoIWD;15
20103016;DoIWD;4
20103017;DoIWD;12
20104001;DoIWD;17
20104002;DoIWD;13
20104003;DoIWD;14
